title,posted_at,body
Tens of thousands march for the climate in France,2022-03-13 09:45:52+08:00,"PARIS: Tens of thousands of people protested across France on Saturday (Mar 12) to call for more attention to the climate crisis in the runup to presidential polls next month.  ""Look up"", read one message in giant orange letters demonstrators held up in Paris, urging politicians to make protecting the planet a priority.  The sign was a nod to Netflix hit Don't Look Up, in which astronomers who discover a comet will wipe out the earth try in vain to get politicians to take the threat seriously.  ""When are we going to talk about it?"" read another sign.  The climate crisis took up only 1.5 per cent of talking points in media coverage of the election campaign from Feb 28 to Mar 6, a recent survey by climate justice non-governmental organisations has found.  Organisers said 80,000 protesters took part across the country, including 32,000 people in Paris. The interior ministry however said just around 40,000 demonstrated, of whom 11,000 in the capital.  In the northern city of Lille, Lydie Lampin Bernand described the climate crisis as ""worse than critical"".  ""I'm only 34 years old, and even I've seen the planet slapped in the face with a shovel,"" she said.  ""We have to protect the land we'll leave to our children,"" she added, but politicians had not so far shown they were up to tackling the challenge. "
Brits to get £350 a month to open homes to Ukraine refugees,2022-03-13 08:50:08+08:00,"LONDON: Britain will pay people to open their homes to Ukrainians fleeing the Russian invasion as the government moves to deflect anger over its response to the fastest-growing refugee crisis in Europe since World War II.  The new scheme called ""Homes for Ukraine"" will let refugees from the war come to Britain even if they do not have family ties, the government said on Sunday (Mar 13).  Britain will pay people £350 pounds (US$456) a month if they can offer refugees a spare room or property for a minimum period of six months.  Prime Minister Boris Johnson has sought to portray Britain as helping lead the global response to the Russian invasion - which Moscow calls a ""special operation"" - but his government has faced criticism over delays in accepting refugees.  Lawmakers from all the main political parties have attacked the government's insistence that Ukrainians seek visas and biometric tests before arriving in Britain, saying this prioritised bureaucracy over the welfare of those fleeing war.  Under the new scheme, members of the public, charities, businesses and community groups should be able to offer accommodation via a web page by the end of next week, the government said. "
Houston we have lift off as Windies Bonner named Player of Match,2022-03-13 08:09:13+08:00,"    West Indies' Nkrumah Bonner has come a long way since plying his trade in the cricket backwater of Texas four years ago and was named Player of the Match as the hosts escaped with a draw in the first test against England on Saturday.  After a nine hour-plus marathon knock of 123 in the first innings, 33-year-old Bonner offered more stout resistance to stave off England's quest for victory in the second.  He played the straightest of bats in taking 34 balls to get off the mark, eventually remaining unbeaten on 38 in North Sound on the island of Antigua. [L2N2VF0BI]  ""I like to bat at this venue. I think it's a very good wicket,"" said Bonner, whose previous century also came at the ground named after the great Viv Richards.  ""I just want to play test cricket. Over the years I've developed that discipline to bat long.""  Bonner's current status is a far cry from 2018, when he played in the Houston League for the Knight Riders.  He made his test debut last February, and in 10 tests has a batting average of nearly 50.  ""I'm very versatile. I adapt to the situation. Obviously the goal is to bat a lot of balls,"" he said.   West Indies captain Kraigg Brathwaite said Bonner had told him before the match that he wanted to bat for at least 300 balls, something he accomplished and then some.  ""The determination he had was an example for us first innings and today he came again and really showed his worth,"" Brathwaite said.  ""He has a special mindset and set an example for us to follow.""     (Reporting by Andrew Both in Cary, North Carolina; Editing by Ken Ferris) "
"After test draw, Root pleased England did not panic against Windies",2022-03-13 07:54:54+08:00,"    England captain Joe Root was disappointed his team could not finish off West Indies on the final day of the first test on Saturday but was hardly going to complain after a winter of discontent.  England, under plenty of scrutiny at the best of times, arrived in the Caribbean even more so after a 4-0 Ashes drubbing by Australia.  ""I'm really proud of the team today, the (whole) week actually,"" Root said after the match finished in a draw, England coming up six wickets short of bowling out West Indies in the second innings on the island of Antigua.  ""From that first hour when we found ourselves in a tricky spot (losing four quick wickets), I think the character we showed off the back of the previous tour to not panic and get ourselves back in the game ... we got better and better on a very docile wicket for our seamers.  ""(There are a) lot of good signs going into the rest of the series.""  England's cause was not helped by the absence in the second innings of Mark Wood, out with a right elbow injury that Root said would be evaluated before the second test starting in Barbados on Wednesday.  Wood's presence might not have made much difference in the end, but it certainly did not help the cause.  ""On that sort of wicket the extra bit of pace with the reverse (swing) is exactly what you want,"" said Root.  The captain, one of three century-makers on the England team, heaped praise on the other two, veteran Jonny Bairstow and young Zak Crawley.  Bairstow, coming off a century in his final test in Australia, was ultra-cautious early before cutting loose later in his knock of 140 in the first innings.  ""Jonny, to read the game and play that kind of innings in that situation, showed great maturity and you could see the confidence he took from the way he played in the back end of Australia,"" said Root.  Crawley's 121 in the second innings provided evidence of why England stuck with him after a long lean spell that followed a double century against Pakistan in 2020.  ""(Crawley) showed a huge amount of character to stand up as one of the more senior batters now within this team,"" said Root.  ""It was really important he played an innings like that, more for himself, not necessarily for the rest of us (because) we know how talented he is and what he's capable of.""     (Reporting by Andrew Both in Cary, North Carolina; Editing by Ken Ferris) "
"'Friend guarding' is a normal impulse, but jealousy doesn’t have to ruin a friendship",2022-03-13 07:06:03+08:00,"When Bob Bergeson’s friend invited him to a Denver Nuggets basketball game with some new pals, he was excited to join in. Sure, the evening would cost him nearly US$400 (S$543), an amount he wouldn’t normally spend. But Bergeson’s splurge didn’t reflect a slavish devotion to basketball; he opened his wallet because he felt insecure about his languishing relationship with his friend, who he perceived to be getting closer to a new group of people.  “He started hanging out with the dads on his daughter’s soccer team and talking about them fondly and I thought, ‘Oh, man he’s kind of got some new friends,’” Bergeson, 42, a business consultant in Denver, said. “I needed to insert myself to make sure I still mattered to him.”  Just like you can lose a romantic partner to another person, “friends can also lose their slot in the best friend hierarchy,” said Jaimie Krems, a friendship researcher and assistant professor of psychology at Oklahoma State University. This fear of being replaced is often borne out of jealousy, Krems said. And one way to cope with it, she added, is by doing something social scientists refer to as friend guarding – actions like excessively praising a friend or cutting down a new rival, for example – to maintain a threatened relationship.  “Like all behaviours, there are good and bad aspects of friend guarding,” Krems said. Telling your friend how much they mean to you might bolster your friendship, she said, but badmouthing a newbie might anger your friend and cause them to pull away. "
"Looks hard, but anyone can do it: Here's how to master the pull-up",2022-03-13 07:05:34+08:00,"I’ve always loved pull-ups, partly out of spite. There is a common fitness refrain that women can’t do them, and I don’t like to be told I can’t do something – especially if the reason is my gender. As a teenager, I pushed lawn-mowers and hauled rocks just to show that being a girl didn’t mean I was weak.  I love how pull-ups make me feel – powerful, strong. There’s nothing like the feeling of lifting yourself up. Pull-ups are also beautiful for their simplicity. They require nothing more than a bar, and engage at least a dozen muscles, from the lats all the way to the glutes. Experts say they improve upper body strength, shoulder mobility and core stability, while helping to hone coordination too.  Doing a pull-up is “an amazing feeling,” said Chilasa King, a powerlifter and coach at LiftedMBK in New York. The exercise boosts confidence and turns heads at the gym, she said. “It’s a simple exercise that’s really hard to do.”  Therein lies the pull-up paradox: Pull-ups are simple, but hard, and many people who think they can’t do one really could, if they put in the effort and time.  Everybody has a good chance of achieving a pull-up if they train for it, said Meghan Callaway, a strength coach based in Vancouver, Canada, and creator of The Ultimate Pull-Up Program. Most people who fail to master the pull-up struggle not because they are physically incapable, but because they are not training in the right way, she said. The trick is to focus on proper technique and approach your training with patience and deliberateness.
  "
The former ad agency owner and creative director who's now a food influencer,2022-03-13 07:04:52+08:00,"Anyone who follows the local food scene through social media has certainly run across the incredibly well-written and passionate posts from Veronica Phua.  This charming, enthusiastic professional eater explores our local food scene, from the smallest hole-in-the-wall hawker stalls to the country’s Michelin-starred temples of gastronomy. What’s clear through her reels and posts is a true love for food, a real respect for F&B professionals and a clear understanding of how to present content that is both appealing and useful.  The last, I have come to realise, after having gotten to know Veronica over the last few years, comes from decades of experienced storytelling. What most foodies that follow the always-hungry Phua on Instagram don’t realise is that her expertise in creating content comes from three decades of working as an art director, and even before that, a degree from the Nanyang Academy of Fine Arts. "
Milan squeeze past Empoli to move five points clear,2022-03-13 06:53:49+08:00,"ROME: AC Milan will stay top of Serie A this weekend after Saturday's tight 1-0 win over Empoli moved them five points clear of the chasing pack.  Pierre Kalulu struck the classy winner 18 minutes in at the San Siro when a free-kick fell to him just outside the area, the French defender's first goal of the season keeping Milan's local rivals Inter at bay.  Inter, who have a game in hand, are at Torino on Sunday while Napoli are a further point back in third ahead of a tricky trip to Verona.  Milan have had trouble with Serie A's lesser lights in recent weeks and Saturday's win was far from straightforward, with promoted Empoli causing problems for the hosts in the second half.  Aurelio Andreazzoli's team are without a win since mid-December but went close twice in a matter of seconds shortly after the break.  First Sebastiano Luperto forced a superb save from Mike Maignan when he got a head to Filippo Bandinelli's inswinging cross five minutes after the restart.  Then France international goalkeeper Maignan had to be at his best to keep Nedim Bajrami's subsequent corner from going straight in before pouncing on the ball on the rebound.  However Milan held on for a precious win to make sure that they will hold top spot, at least for another week.  Alvaro Morata ensured Juventus extended their unbeaten run to 15 matches with a brace in a 3-1 win at Sampdoria to further strengthen their position in the top four as they moved just one point behind Napoli.  Morata put Juve two goals ahead from the penalty spot before rounding off the scoring two minutes from the end to send Juve into their Champions League decider with Villarreal in confident mood.  Massimiliano Allegri's side host La Liga outfit Villarreal in Turin on Wednesday in the second leg of a last 16 tie level at 1-1.  The visitors could thank Samp's Japanese international Maya Yoshida for their first goal after the defender inadvertently bundled in a Juan Cuadrado cross in the 23rd minute, before Morata converted his spot-kick 11 minutes later.  Abdelhamid Sabiri pulled one back for Samp with six minutes to go with a deflected free-kick but shortly afterwards Morata headed in his fifth league goal of the season from a Manuel Locatelli cross.  Morata's second sealed a win which showed Juve are not out of the title race yet, pulling to within four points of Milan before they beat Empoli.  The Spaniard is on loan from Atletico Madrid and his future in Turin after this campaign is unsure.  ""The future is not up to me. I'll still be the biggest Juve fan even if I'm not here next season,"" he said to DAZN.  ""We will try everything we can to win the league title.""  Earlier bottom side Salernitana held Sassuolo to a 2-2 draw while Spezia struck a big blow in the race for survival by beating Cagliari 2-0.  Thiago Motta's side are seven points above Venezia, who sit 18th but can now move level on 25 points with Cagliari if they shock Lazio in Rome on Sunday. "
"UK to host Baltic, Nordic leaders to find new ways to isolate Russia",2022-03-13 06:53:36+08:00,"LONDON: British Prime Minister Boris Johnson will host leaders from countries along Russia's northwestern flank next week to discuss ways they can respond to President Vladimir Putin's invasion of Ukraine, including finding new ways to isolate Russia's economy.  The leaders from countries in the Joint Expeditionary Force, a British-led grouping made up of Denmark, Estonia, Finland and Iceland, Latvia, Lithuania, the Netherlands, Norway, and Sweden will meet for talks in London on Tuesday.  The leaders are expected to agree to more military exercises in the North Atlantic and Baltic Sea and will discuss the war in Ukraine and energy security, Johnson's office said.  ""European security has been shaken by the attack of Russia on Ukraine, and alongside our partners, we will take action to ensure we emerge stronger and more united than before,"" Johnson said in a statement.  ""Ensuring we are resilient to Putin's threats needs to go beyond our military footing - together alongside our North and Baltic Sea partners we must ensure we are insulated from Russia's interference and impact on our energy supplies, economy and values.""  Britain has imposed sanctions on hundreds of Russian individuals and entities, promised to phase out Russian oil imports and banned Russian companies from raising debt and equity in its financial centre. "
"Why are young, rich Thais flocking to the once-sedate beach town of Hua Hin?",2022-03-13 07:05:45+08:00,"It’s sundowner time poolside at The Standard Hua Hin, and the scene is getting cooler, both physically and metaphorically.   With the last rays of the day dappling over the pool bar at the hip new resort – the trendy global hotel brand’s first in Thailand – chill DJ beats suffuse the balmy atmosphere.   It’s a sneak preview of the property during its pre-opening stage at the tail-end of 2021. And as I kick back on one of the distinctive yellow-mesh sun loungers that surround the pool (with cocktail in hand, of course), I’m joined by Amar Lalvani, CEO of Standard International.  "
IEA urges reduced transport to cut oil use amid supply crunch,2022-03-18 17:56:07+08:00,"LONDON: The International Energy Agency (IEA) on Friday (Mar 18) unveiled a 10-point plan to reduce oil use focused mostly on reducing transportation as Russia's invasion of Ukraine deepens concerns about supply.  ""Since the majority of oil demand comes from transport, the IEA’s 10-Point Plan focuses on how to use less oil getting people and goods from A to B, drawing on concrete measures that have already been put to use in a diverse range of countries and cities,"" the IEA said in a report.  The recommendations could reduce oil demand by 2.7 million barrels a day within four months, the IEA said, with measures including lower speed limits, working from home, car-free days in cities, cheaper public transport and more carpooling. "
China's land sales plunged in Jan-Feb though easing measures,2022-03-18 17:16:08+08:00,"BEIJING :     China's land sales revenue slumped from a year earlier, official data for January-February showed on Friday, pointing to continued weakness in the country's huge property market, a major economic growth driver.  The country's government land sales revenue fell 29.5per cent on year to 792.2 billion yuan  ($124.52 billion) in the first two months of 2022 after a 2.16per cent increase in December, largely smaller than 1.1236 trillion in the same period in 2021.  China's property sector has slumped for months as Beijing's campaign to reduce high debt levels triggered a liquidity crisis at some major property developers, resulting in bond defaults and projects being shelved or left unfinished.  Authorities have put in place a string of easing steps to ease a liquidity crunch in major property developers and revive buying interest, including smaller downpayments and reductions in mortgage rates.  The looser regulations have yet to drive a nationwide rebound. New home prices stalled in February after eking out a small gain a month earlier, official data on Wednesday showed.  The year-on-year decline in property sales and new construction starts measured by floor space were in two digits in January-February, according to the data from the National Bureau of Statistics.  Later on Wednesday, state-run Xinhua news agency reported China was putting a planned property tax trial this year on ice, citing the finance ministry, suggesting authorities are moving cautiously to refrain from further hurting the interest in the sector.  Chinese Vice Premier Liu He on Wednesday urged the roll-out of market-friendly policies to support the economy, and vowed to tackle the risks in the property sector.  ($1 = 6.3620 Chinese yuan renminbi)     (Reporting by Liangping Gao and Ryan Woo; Editing by Hugh Lawson) "
"Former DBS manager given prohibition orders after deceiving clients into transferring S$490,000 to personal bank account",2022-03-18 17:11:12+08:00,"SINGAPORE: A former wealth planning manager with DBS Bank has been issued 10-year prohibition orders after deceiving clients into transferring a total of S$490,000 into his personal bank account.  Marcus Loh Thim Mun was issued the prohibition orders by the Monetary Authority of Singapore (MAS). The orders took effect on Wednesday (Mar 16) after Loh was convicted of cheating and forgery offences, and using the benefits of his criminal conduct.  On Jan 6, 2021, Loh was sentenced in court to 33 months imprisonment for his offences.  Between October 2018 and November 2018, Loh deceived seven clients into transferring a total of S$490,000 into his personal bank account while he was a DBS representative.  Loh falsely informed some of these clients that their money would be placed in fixed deposit accounts with DBS, said MAS.   He also told a client that he could participate in a DBS share ownership scheme, and he forged a letter confirming the placement of the client’s money in the scheme.   He then used part of the money to purchase virtual credits on an unlawful gambling site.   ""Loh’s actions have given MAS reason to believe that he will not perform financial advisory and capital markets services honestly,"" said MAS.  “While Loh is no longer an appointed representative in Singapore, the prohibition orders were issued against him to safeguard the integrity of Singapore’s financial sector.”  Under the prohibition orders, Loh cannot provide any financial advisory services, take part in the management of, act as a director of, or become a substantial shareholder of any financial advisory firm under the Financial Advisers Act 2001, said MAS.   He is also not allowed to perform any regulated activity or take part in the management, act as a director, or become a substantial shareholder of any capital markets services firm under the Securities and Futures Act 2001. "
ADB to help Indonesia raise funding for new $32 billion capital city,2022-03-18 17:01:26+08:00,"JAKARTA :     The Asian Development Bank (ADB) will assist in Indonesia's planned $32 billion capital city relocation by mobilising financing and assessing the project's environmental and social impacts, the Manila-based lender said on Friday.   The multilateral bank said in a statement it will also help with the design of the new city, Nusantara, that President Joko Widodo wants to build in the eastern part of forested Borneo island.  When asked whether the ADB will extend a loan to Indonesia for the relocation, the lender said its support will be ""technical, including in setting up an international conference"" but did not provide further details.  ""ADB will share international lessons learned to help NNCA design and fund construction of the new capital,"" said senior ADB official Ahmed M. Saeed, referring to Nusantara National Capital Authority, a government agency in charge of the project.      The bank's statement followed an announcement from Japan's Softbank Group that it would not invest in Nusantara, despite previous remarks by an Indonesian minister that the group had offered billions of dollars for the project.   The NNCA is headed by Bambang Susantono, a former vice president for ADB and former deputy transport minister for Indonesia.   Susantono was quoted in Friday's ADB statement as saying he was keen to learn about others' experiences in creating carbon-neutral and inclusive cities.  Jokowi, as the president is commonly known, has said he wants the government to finance only about a fifth of the cost of the new capital city, and that private and foreign investors should bankroll the rest.  Indonesia's sovereign wealth fund will invest in the new capital city if it sees the project as commercially viable, the head of the fund told Reuters this week.   The government aims to start construction soon and civil servants are expected to move from the current capital, Jakarta,  to Nusantara in 2024.     (Reporting by Stefanno Sulaiman; Editing by Gayatri Suroyo and Kanupriya Kapoor) "
"JPM, Credit Suisse expect China COVID spike to have minimal impact on GDP",2022-03-18 16:47:38+08:00,"    The recent surge in COVID-19 cases across China is likely to have a minimal impact on the country's GDP this year, two brokerages said in their reports, while adding it could hurt demand for some commodities.  China reported 2,388 new local cases with confirmed symptoms on March 17, almost double the count a day earlier, as it battles its worst coronavirus outbreak since the virus first emerged in Wuhan in 2020.  Credit Suisse said in a report late Thursday it expected a loss of 0.03 to 0.05 percentage point to GDP growth per week of the lockdown, on the current size of the lockdown.   Earlier this month, China forecast a slower economic growth of around 5.5per cent this year as domestic headwinds, including a downturn in the country's vast real estate sector and lacklustre consumption, cast a pall on its outlook.  ""We view China's recent COVID cases and restrictions as a potential demand-side shock that could partly offset the Russia/Ukraine supply-side shock to some commodities,"" Credit Suisse economists said.  Separately, J.P.Morgan said it expected 20per cent of China's GDP to undergo a ""more severe economic shock"" associated with the ""zero-COVID"" policy, but expected it to recover in May and June.  The brokerage forecasts China's full-year GDP growth to be 4.9per cent, down from its previous estimate of 5.1per cent.     (Reporting by Siddarth S in Bengaluru; Editing by Rashmi Aich) "
Porsche AG sets more ambitious electric vehicle target,2022-03-18 17:03:29+08:00,"FRANKFURT: Luxury sportscar maker Porsche AG, which parent Volkswagen could float in a partial stock market listing later this year, on Friday (Mar 18) set out a more ambitious sales target for electric vehicles.  More than 80 per cent of newly sold Porsche vehicles will be fully-electric in 2030, Porsche AG chief executive Oliver Blume said at the group's annual press conference.  That target previously applied to Porsche's electrified models overall, which also includes plug-in hybrids.  Porsche AG also stuck to its long-term target of an operating margin of at least 15 per cent, finance chief Lutz Meschke said.  Volkswagen and its top shareholder Porsche SE struck a framework agreement for a potential partial listing of Porsche AG, which could value the division at up to 90 billion euros.  Such a listing would include listing up to 25 per cent of Porsche AG's preferred stock, selling 25 per cent plus 1 ordinary share in the carmaker to Porsche SE and paying out 49 per cent of IPO proceeds to Volkswagen's shareholders as a special dividend. "
"Man jailed more than 13 years for stabbing, slashing NParks safe distancing officer in 'merciless' attack",2022-03-18 16:28:13+08:00,"SINGAPORE: A 62-year-old man who stabbed and slashed a safe distancing enforcement officer during an outing to pick pandan leaves was on Friday (Mar 18) sentenced to 13 years and four months' imprisonment.  Ahirrudin Al-Had Haji Arrifin attacked the National Parks Board (NParks) officer at Sungei Serangoon Park on May 4, 2020 after he was asked to put on a mask and told that he could not harvest pandan leaves there.  The 38-year-old victim's left thumb was almost severed in the attack. He suffered serious injuries to both hands as well as his chest, arm and scalp, undergoing surgery and receiving 89 days of medical leave.  Ahirrudin, who was a rag-and-bone man, last week pleaded guilty to one count each of voluntarily causing grievous hurt, unlawfully possessing a scheduled weapon and violating COVID-19 control orders by not wearing a mask.  He attacked the victim with a nearly 1m-long walking stick that contained a 20.8cm-long blade at its lower end, concealed by a wooden sheath. The judge said this length of a blade ""essentially transformed the walking stick into a spear"".  He also used a karambit knife with a 10cm curved blade, which was hidden in his shoe. He had brought along two such knives to cut the pandan leaves.  ""The accused's attack was simply senseless, abhorrent and callous,"" said Justice Tan Siong Thye in delivering his judgment. The assault was ""brutal and unprovoked"", and a ""wholly unjustifiable response"" to the victim's performance of his official duties, he said.  The judge also pointed out the public interest considerations around the case. The attack took place during Singapore's ""circuit breaker"", when the work of safe distancing enforcement officers was especially crucial to stem the spread of COVID-19, he said.  ""Such frontline enforcement officers were and still remain exceptionally susceptible to abuse and violence, yet they continue to place their health and personal safety at risk to enforce social distancing measures that protect the society,"" said Justice Tan.  He said the sentence imposed was necessary to assure public servants of adequate protection and vindication by the law when performing their duties.  Details of the attack were heard in court last week. The victim was driving through the park connector in a buggy with another NParks safe distancing enforcement officer when he spotted Ahirrudin unmasked, with pandan leaves in his bicycle basket.  The two officers approached the man, telling him that he was not allowed to cut the pandan leaves at the park connector and asking him to wear a mask. Ahiruddin was uncooperative and grew increasingly agitated.  After the victim called the police and took a video of him, Ahiruddin unsheathed the blade of his walking stick and stabbed the left side of the victim's chest. He later entered the buggy and forcefully pushed the blade further in at least two more times.  Both men fell out of the buggy onto the grass. During the struggle, Ahiruddin retrieved a karambit knife from his shoe and slashed the victim with it, almost severing the man's left thumb.  Throughout this ""merciless"" onslaught, the victim did not retaliate and only tried to fend off his attacker, who took advantage of his vulnerability, said Justice Tan.  They continued struggling until a passer-by intervened. The victim, his fellow officer and the passer-by ran to Tampines Expressway to wait for an ambulance and the police.  After the attack, Ahirrudin cycled home and hid the walking stick in a compartment at the washing area of the void deck. He was arrested later that afternoon outside a convenience store.  Justice Tan questioned why Ahirrudin had so many weapons on him, saying: ""I wonder why the accused was heavily armed that day. If he wanted only to cut pandan leaves, he would just need a knife ... Why is there a need to bring along so many dangerous weapons for his protection, when his sole purpose was to cut pandan leaves?""  The judge cited a medical report stating that the stabs to the victim's chest could have been fatal if the blade had entered his heart. The victim's hand injuries could also have been life-threatening and caused a massive haemorrhage if not for the prompt medical attention he received. It was ""incredibly fortunate"" that this did not happen.  He also noted comments by Dr Kang Yong Chiang of Singapore General Hospital that the depths of the victim's wounds in his left hand were typically caused by ""industrial tools like electric chain saws"", and a ""large degree of violence"" was involved in their creation.  The injuries have caused lifelong effects to the victim, the judge noted. Despite months of rehabilitation, the victim still suffers diminished strength in his left hand and fingers, causing permanent inconvenience in daily life. He continues to experience psychological trauma and feels anxious whenever he sees knives, even in his own home.  In imposing the sentence, Justice Tan noted that the offender was over the age of 50 and could not be caned. The total sentence included three months' jail given in lieu of the 18 strokes he would have received.  The prosecution had sought 12 to 15 years' jail, arguing that public interest was one of the main considerations for sentencing, as Ahirrudin's actions ""undermined"" the safety and confidence of safe distancing officers.  In mitigation, Ahiruddin's defence lawyer had said the man was deeply remorseful and that his attack on the victim was impulsive, without premeditation. The lawyer had asked for eight to 10 years' jail. "
"China seen keeping lending benchmarks steady, cut expectations grow: Reuters poll",2022-03-18 16:51:01+08:00,"SHANGHAI :     China is likely to keep benchmark lending rates unchanged at its monthly fixing on Monday, a Reuters survey found, after the central bank surprised investors by forgoing a cut to medium-term lending rates this week.  The poll nevertheless found expectations for cuts growing after Vice Premier Liu He on Wednesday said Beijing would roll out more support measures for the Chinese economy.  Among 36 financial institutions surveyed in a snap Reuters poll, just over half said they expected China's one-year loan prime rate (LPR) and the five-year rate to remain unchanged at the March fixing.   Five respondents said they anticipated a 5 basis point reduction in the five-year rate and no change in the one-year rate.   ""I think they'll cut the five-year, since the one-year follows the MLF,"" said a trader at a Chinese bank. ""They want to stabilise the property market so it's more important to cut the five-year.""  The central bank surprised markets on Tuesday by not cutting its one-year medium-term lending facility (MLF) rate, despite growing risks to the economic outlook, including mounting COVID-19 disruptions, increasing global risks from the Ukraine conflict and a weak property market.  Reflecting market uncertainty, other respondents predicted a wide range of different cuts.   Four respondents expected a 5 basis point cut in the one-year rate, but no change in the five-year, and six respondents said they expected at least one of the rates to be cut by 10 basis points.  Regardless of whether Monday's fixing brings a cut, investors see Liu's comments as having boosted the likelihood of other easing measures, particularly as China struggles with a worsening COVID-19 outbreak.  ""Given strict social distancing measures, it is likely that more cities could find themselves being put under 'semi-lockdown',"" analysts at ING said in a note.  ""We expect the central bank to respond with targeted (reserve requirement ratio) cuts aimed at supporting small and medium-sized enterprises.""  Most new and outstanding loans in China are based on the one-year LPR, while the five-year rate influences the pricing of home mortgages.   The one-year LPR is 3.7per cent following cuts of 5 and 10 basis points in December and January, respectively, while the five-year LPR is 4.6per cent after a 5-basis-point cut in January.  The MLF rate serves as a guide to the LPR, which is decided on the 20th of each month.     (Reporting by Steven Bian, Jason Xue and Andrew Galbraith; editing by Barbara Lewis) "
Japan steps up rhetoric against sharp yen falls,2022-03-18 18:00:39+08:00,"TOKYO :Japan is watching recent falls in the yen carefully as sharp moves are ""undesirable,"" the government's top spokesman said on Friday, stepping up official warnings to markets against pushing down the currency too much.  A weak yen has become a source of worry for policymakers as it inflates already surging fuel and raw material import costs, threatening to derail Japan's fragile economic recovery.  ""Exchange-rate stability is important and sharp moves are undesirable,"" Chief Cabinet Secretary Hirokazu Matsuno told a news conference.  ""The government will be vigilant to the impact currency market developments, including recent yen declines, could have on the economy.""  Matsuno's warning against sharp yen falls was stronger than recent comments by Finance Minister Shunichi Suzuki, who said only that exchange-rate stability was important.  It also contrasted with the fairly sanguine view offered by Bank of Japan (BOJ) Governor Haruhiko Kuroda, who said on Friday that a weak yen was generally positive for Japan's economy.  The dollar stood at 118.775 yen on Friday, not far from the six-year high of 119.13 yen reached on Wednesday, as the BOJ left monetary policy ultra-loose in the wake of the U.S. Federal Reserve's decision to hike interest rates.  The yen has lost more than 3per cent to the dollar so far this month alone.  Kuroda said on Friday the BOJ will maintain ultra-easy policy even though rising fuel costs may drive up inflation to its 2per cent target from April, making it an outlier in a global wave of central banks tightening policy.  Kuroda, a former top currency diplomat, said the yen likely won't weaken further due to interest-rate differentials alone.  ""A weak yen is basically positive for Japan's economy, though the direct impact on households and some companies may not necessarily be beneficial,"" he said.  Japanese policymakers have historically battled sharp yen rises that threaten to damage exports by issuing verbal warnings or currency intervention, while keeping a hands-off approach on yen falls.  But the yen's recent weakness has drawn concern from politicians, who worry about the damage it could do to households and retailers via higher fuel and food costs.  Kuroda said there was little the BOJ can do to arrest an unwelcome fall in the yen.  ""Exchange rate policy falls upon the jurisdiction of the finance ministry. The BOJ does not need to, and does not have the power to influence exchange rates,"" he said.   (Reporting by Leika Kihara and Tetsushi Kajimoto; Additional reporting by Kantaro Komiya; Editing by Hugh Lawson and Kim Coghill) "
Chinese carrier sails through Taiwan Strait hours before Biden-Xi call,2022-03-18 18:17:30+08:00,"TAIPEI: A Chinese aircraft carrier sailed through the sensitive Taiwan Strait on Friday (Mar 18), Taiwan's Defence Ministry said, just hours before the Chinese and US presidents were due to talk.  China claims democratically ruled Taiwan as its own territory, and has over the past two years stepped up its military activity near the island to assert its sovereignty claims, alarming Taipei and Washington.  A source with direct knowledge of the matter, who was not authorised to speak to the media and spoke on condition of anonymity, told Reuters the carrier Shandong sailed close to the Taiwan-controlled island of Kinmen, which sits directly opposite the Chinese city of Xiamen.  ""Around 10.30am the CV-17 appeared around 30 nautical miles to the southwest of Kinmen, and was photographed by a passenger on a civilian flight,"" the source said, referring to the Shandong's official service number.  The USS Ralph Johnson, an Arleigh Burke guided missile destroyer, shadowed the carrier, which did not have aircraft on its deck and sailed north through the strait, the source added.  Taiwan also sent warships to keep an eye on the situation, the source said.  Taiwan's Defence Ministry, in a brief statement, confirmed the passage of the Shandong but gave no details other than to say its forces have a ""full grasp"" of what China's ships and aircraft do in the Taiwan Strait.  US Navy spokesperson Lt Mark Langford said the Ralph Johnson had ""conducted a routine Taiwan Strait transit Mar 17 (local time) through international waters in accordance with international law"". He did not elaborate.  Chinese Foreign ministry spokesman Zhao Lijian referred questions to the Defence Ministry - which did not immediately responded to a request for comment - but said the Shandong has a ""routine training schedule"".  ""We should not associate this with the communication between the heads of state of China and the United States. You may think it is too sensitive. What is sensitive is you, not the Taiwan Strait,"" Zhao told reporters in Beijing. "
China cuts income tax for some small firms to 20per cent - finance ministry,2022-03-18 16:57:18+08:00,"BEIJING :China will cut income tax for some small firms to 20per cent from 25per cent, the finance ministry said on Friday, as part of steps to ease burdens on small businesses to support the slowing economy.  Small firms will be subject to the lower income tax until the end of 2024 from the start of 2022, the ministry said in a statement on its website.  To be eligible, the small companies' annual taxable income cannot exceed 3 million yuan ($472,000), with assets below 50 million yuan and fewer than 300 employees, according to the statement.   China's Premier Li Keqiang has pledged to deliver tax cuts and rebates totalling 2.5 trillion yuan this year to help cushion a slowdown in the economy.  Small firms in China account for about 80per cent of urban employment.  ($1 = 6.3620 Chinese yuan renminbi)   (Reporting by Kevin Yao, Ellen Zhang; editing by Jason Neely and Hugh Lawson) "
