title,body
"Over 9,500 temporary shelters for Ukrainian refugees operate in Russia -  Military & Defense","MOSCOW, March 12. /TASS/. More than 9,500 temporary shelters for Ukrainian refugees are operating in Russia, Colonel General Mikhail Mizintsev, the head of the Russian National Center for Defense Management, said on Saturday.
""More than 9,500 temporary shelters continue to function normally in Russian regions,"" he said.
According to the official, more than 17 tonnes of humanitarian cargo are now being prepared for delivery.
Mizintsev added that all information about Russia’s efforts to alleviate the humanitarian disaster in Ukraine, such as aid deliveries and humanitarian corridors, is published by the Russian Defense Ministry’s official website daily.
On February 24, Russian President Vladimir Putin announced a special military operation in response to a request for help by the heads of the Donbass republics. He stressed that Moscow had no plans of occupying Ukrainian territories, but aims to demilitarize and denazify the country. The Russian Defense Ministry said that Russian troops are not targeting Ukrainian cities, but are incapacitating Ukrainian military infrastructure, therefore there are no threats to the civilian population.
"
Buses for evacuation of civilians from Mariupol not let through by militants — ministry -  Military & Defense,"MOSCOW, March 12. /TASS/. All the attempts taken by the Russian military through Kiev to compel the combatants in Mariupol to allow a convoy of buses to evacuate civilians have failed, Colonel General Mikhail Mizintsev, chief of Russia’s National Defense Management Center, said on Saturday.
""Today, all our attempts made through Kiev to force the militants in Mariupol to let the convoy of buses through to take civilians have failed too,"" he said.
"
LPR forces take control of two settlements — Russian Defense Ministry -  Military & Defense,"MOSCOW, March 12. /TASS/. Troops of the Lugansk People’s Republic (LPR) have taken control of Molodezhnoye and Vozgorye, Russian Defense Ministry Spokesman Igor Konashenkov said on Saturday.
""A group of troops of the Lugansk People’s Republic has taken control of Molodezhnoye and Vozgorye and seized the southern and central districts of Popasnaya. Forward units of Lugansk People’s Militia have reached the outskirts of the town of Severodonetsk,"" he said.
"
"Ukrainian forces open fire at Russian cargo ship in Sea of Azov, criminal case opened -  Emergencies","MOSCOW, March 12. /TASS/. Ukrainian forces have shelled a Russian civilian vessel, which was sailing from Greece to Taganrog, in the Sea of Azov, criminal proceedings have been initiated, the Russian Investigative Committee said on Saturday.
""The Main Investigative Department of the Russian Investigative Committee has opened a criminal case of attempted homicide after the shelling of a Russian vessel,"" the statement says.
On March 12, Ukrainian troops, who are fighting in Ukraine’s southeast, attacked with indiscriminate weapons the Russian civilian cargo ship Sormovskiy 3064 in the Sea of Azov. The ship was sailing from a Greek port to Taganrog. No casualties are reported.
According to the Investigative Committee, at the time of shelling the ship was 12 kilometers north off the village of Shabelskoye, the Shcherbinovsky district in Russia’s Krasnodar Region. The ship caught fire after a shell had hit the first mate’s cabin. Thanks to the crew’s actions, the fire was localized and the ship left the impact area.
The Investigative Committee said that Ukrainian servicemen involved in the shelling are being identified.
"
Kazakhstan’s Qazaq Air to resume flights to Russia on March 13 -  Business & Economy,"NUR-SULTAN, March 12. /TASS/. Kazakhstan’s airline Qazaq Air will resume suspended flights to Russia from March 13, the airline’s press service said on Saturday.
""Qazaq Air notifies that all scheduled flights bound for Russia will be resumed from March 13, 2022 and are available for booking via the website,"" the air carrier said in a post on its Facebook page. ""We apologize for the temporary inconvenience associated with the cancellation of the flight to Novosibirsk on March 12, 2022,"" the company said
It added that the airline complies with all safety flight requirements in accordance with Kazakh and international regulations.
"
Russian experts provide consulting assistance at Ukrainian NPPs — Rosatom -  Business & Economy,"MOSCOW, March 12. /TASS/. The Zaporozhskaya and Chernobyl nuclear power plants are still operated and managed by the Ukrainian personnel, whom Russian experts give consulting assistance, Russia’s state nuclear corporation Rosatom said in a statement on Saturday.
""With regard to the incoming requests, we inform you that the management and operation of the Zaporozhskaya and Chernobyl NPPs is carried out by the Ukrainian operating personnel. A group of several Russian experts provides them consultative assistance,"" the statement says.
Technical support identifies priority needs of the nuclear power plants to ensure the safe and sustainable operation of nuclear power units.
""Thus, in particular, with the consulting assistance of Russian specialists, the restoration of the power supply of the Chernobyl NPP and the physical protection system of the Zaporozhskaya NPP is now being carried out,"" Rosatom said in the statement.
Russian and Ukrainian experts cooperate on the regular basis in the form of meetings. Rosatom emphasized that ""while implementing measures aimed at ensuring the safe and secure operation of Ukrainian NPPs, the Russian side maintains close contact with the IAEA."".
"
"Macron, Scholz tell Putin about need for ceasefire in Ukraine -  World","BERLIN, March 12. /TASS/. German Chancellor Olaf Scholz, French President Emmanuel Macron and Russian President Vladimir Putin held a telephone conversation on Saturday, the German government said.
""During the 75-minute talks, the Federal Chancellor and the French president insisted on an immediate ceasefire in Ukraine and the start [of efforts] to find a diplomatic solution to the conflict. It was decided to keep silent regarding the remaining details,"" the statement says.
Before speaking to the Russian president, Scholz had held talks with Ukrainian President Vladimir Zelensky.
""Scholz learnt about his evaluation of the current situation. The parties agreed to keep in touch,"" the statement says.
On February 24, Putin announced a special military operation in response to a request for help by the heads of the Donbass republics. He stressed that Moscow had no plans of occupying Ukrainian territories, but aims to demilitarize and denazify the country.
"
"Paris announces new sanctions against Russia after talks of Macron, Scholz with Putin -  World","PARIS, March 12. /TASS/. The European Union is poised to impose a next round of sanctions against Russia, which will be announced in the coming hours, a source at the Elysee Palace said on Saturday after the talks held by French President Emmanuel Macron and German Chancellor Olaf Scholz with Russian President Vladimir Putin over the phone.
According to the source, Moscow ""showed no willingness to stop the war.""
""We are going to take new sanctions measures in the next few hours,"" the source told BFM television channel.
"
urnout in Turkmenistan's presidential election reaches 97.12% — CEC -  World,"ASHGABAT, March 12. /TASS/. Voter turnout in Turkmenistan’s early presidential election was 97.12% by 19.00 local time on Saturday, the Central Election Commission (CEC) said.
""Voting in Turkmenistan’s presidential election has ended. By 7 p.m., 97.12% of voters had cast their ballots in Turkmenistan’s presidential election,"" the statement said.
The CEC added that 90.93% of the voters came to vote at the polling stations abroad.
""Voting continues at some polling stations outside the country,"" the CEC noted.
"
anctions against Moscow violate Western market principles — Russia’s Finance Minister -  Business & Economy,"MOSCOW, March 12. /TASS/. The sanctions imposed against Russia violate market principles and approaches that have always been preached by Western countries, Russian Minister of Finance Anton Siluanov said on Saturday.
""This violates all principles, all approaches that these countries have always preached. Restrictions apply to all global trade. In the end, these restrictions will return to the countries that introduced them,"" he said.
He noted that these restrictions will harm the global economy. ""Absolutely. Any restrictions harm the global economy. Restrictions on such a large economy as Russia’s will certainly be felt all over the world,"" the minister stressed.
Russian President Vladimir Putin said in a televised address on February 24 that in response to a request by the heads of the Donbass republics he had made a decision to carry out a special military operation in order to protect people ""who have been suffering from abuse and genocide by the Kiev regime for eight years."" The Russian leader stressed that Moscow had no plans to occupy Ukrainian territories.
"
"Putin calls on Macron, Scholz to intervene in Kiev’s actions against civilians -  Russian Politics & Diplomacy","MOSCOW, March 12. /TASS/. Russian President Vladimir Putin has informed French President Emmanuel Macron and German Chancellor Olaf Scholz about violations by Ukrainian forces of international humanitarian law, the Kremlin said on Saturday after the talks held by the three leaders by phone.
The Kremlin’s statement says that in response to his counterparts’ questions Putin briefed them on the real state of affairs concerning the humanitarian situation in the areas of the special military operation to defend Donbass.
""In particular, [the Russian president] cited numerous facts of gross breaches of international humanitarian law by Ukrainian forces, namely extrajudicial executions of dissenters, hostage taking, the use of civilians as human shields, the deployment of heavy weapons in residential areas - outside hospitals, schools, kindergartens and the like,"" the Kremlin said. ""Simultaneously, nationalist battalions systematically disrupt rescue operations and intimidate civilians who attempt to evacuate.""
""Vladimir Putin urged Emmanuel Macron and Olaf Scholz to exert influence on the Kiev authorities so that such criminal actions would be stopped,"" the statement said.
On February 24, Putin announced a special military operation in response to a request for help by the heads of the Donbass republics. Russia demands that Ukraine should be demilitarized and de-Nazified, should have a non-aligned and non-nuclear status, should recognize Crimea as part of Russia and recognize the sovereignty of the Donetsk and Lugansk People’s Republics. In the meantime, the United States, the United Kingdom and some other states slapped sanctions on Russia.
"
ony Pictures suspends activities in Russia -  Business & Economy,"MOSCOW, March 12. /TASS/. Sony Pictures announced the suspension of all activities in Russia against the backdrop of events in Ukraine, according to Variety magazine.
""We stand with many businesses around the world who have now paused their business operations in Russia, and in support of the humanitarian efforts currently underway in Ukraine and the surrounding region,"" Sony Pictures Entertainment chairman and CEO Tony Vinciquerra wrote in a memo to staff on Friday, Variety reported.
""Two weeks ago, we paused the upcoming theatrical release of ‘Morbius’ in Russia. Since then, we have also halted our planned home entertainment releases, including ‘Spider-Man: No Way Home,’ and any future television distribution deals. And just this morning, Crunchyroll suspended its anime streaming service in Russia,"" he added.
Russian President Vladimir Putin said in a televised address on February 24 that in response to a request by the heads of the Donbass republics he had made a decision to carry out a special military operation in order to protect people ""who have been suffering from abuse and genocide by the Kiev regime for eight years."" The Russian leader stressed that Moscow had no plans of occupying Ukrainian territories.
"
"Putin, Macron, Scholz discuss pending agreements on Russia’s demands on Ukraine -  Russian Politics & Diplomacy","MOSCOW, March 12. /TASS/. In a phone call on Saturday Russian President Vladimir Putin, his French counterpart Emmanuel Macron and German Chancellor Olaf Scholz touched upon the issues related to pending agreements on the implementation of Russia’s demands concerning Ukraine, the Kremlin said in a statement.
""The Russian president spoke in detail about a series of talks held between Russian and Ukrainian representatives via video conference in recent days. In this regard, the three leaders considered some issues related to the agreements, which are being worked out, on implementation of the known Russian demands. It was agreed to continue contacts on the Ukraine-related issues,"" the statement says.
On February 24, Putin announced a special military operation in response to a request for help by the heads of the Donbass republics. Russia demands that Ukraine should be demilitarized and de-Nazified, should have a non-aligned and non-nuclear status, should recognize Crimea as part of Russia and recognize the sovereignty of the Donetsk and Lugansk People’s Republics.
"
Qazaq Air suspends flights to Russia -  Business & Economy,"NUR-SULTAN, March 12. /TASS/. Kazakh airline Qazaq Air suspends flights to Russia due to lack of insurance coverage in the country, the company announced on Saturday.
""Qazaq Air has received a notification from an insurance company about the failure to provide insurance coverage on the territory of Russia and in its airspace. In view of this situation, the airline is not able to operate flights to Russia until the issue of insurance coverage over the territory of Russia is resolved,"" the statement said.
On Friday, Kazakh airline Air Astana announced that it was suspending flights to and over Russia due to the termination of insurance coverage for commercial flights to and from the Russian Federation.
Russian President Vladimir Putin said in a televised address on February 24 that in response to a request by the heads of the Donbass republics he had made a decision to carry out a special military operation in order to protect people ""who have been suffering from abuse and genocide by the Kiev regime for eight years."" The Russian leader stressed that Moscow had no plans of occupying Ukrainian territories.
"
here is no trust amid US sanctions war against Russia — diplomat -  Russian Politics & Diplomacy,"MOSCOW, March 12. /TASS/. Trust between Russia and the United States is impossible amid Washington's unprecedented sanctions war against Russia, Russian Deputy Foreign Minister Sergey Ryabkov said in an interview with Channel One.
""What sort of trust can you talk about when our relations are deteriorating due to the efforts of consecutive US administrations? We maintain track of sanctions waves, which have long surpassed a hundred. What we are witnessing now is entirely unique, a truly unprecedented attempt to inflict a severe blow to many sectors of the Russian economy,"" he said.
The Deputy Minister noted that Russia has long seen how the working conditions of Russian diplomats have deteriorated as a result of the United States' negligence. ""Now, not without the assistance of officials, anti-Russian hysteria is being fostered, and it has reached the level of everyday life,"" he added.
Ryabkov stated that the US turns a blind eye to the reality that there is, in fact, an attack against Russians and holders of Russian passports in numerous countries.
Russian President Vladimir Putin said in a televised address on February 24 that in response to a request by the heads of the Donbass republics he had made a decision to carry out a special military operation in order to protect people ""who have been suffering from abuse and genocide by the Kiev regime for eight years."" The Russian leader stressed that Moscow had no plans of occupying Ukrainian territories.
"
